,idx,Text,assigned_category,model_probability,keywords,reasoning
281,471,"Program Name: Endangered Species (BIA)
Agency: Department of the Interior
Mission/Purpose: Conservation and land management
Program Description: This program coordinates IA and tribal responsibilities regarding compliance with the Endangered Species Act (ESA), Pub.L. 93-205, and the related protection and preservation of trust lands and resources. Due to BIA oversight authority, tribal projects are subject to Section 7 of the ESA which causes tribal activities to have more restrictions than would be required of private landowners, corporations, or states. For many tribes, trust resources such as timber, water, and fisheries, represents the only stable source of income. Funding for the ESA program has enabled BIA to supplement the costs associated with meeting the mandates of Section 7 of the ESA on tribal lands, while also allowing tribes to protect, recover, and manage important species, whether afforded protections by Federal or tribal listing processes.
Recipients: Indian/Native American Tribal Government
Beneficiaries: Federally Recognized Indian Tribal Governments; American Indian",,0.0,[],"The program description does not contain any references to health-related prevention, treatment, recovery, or overdose death prevention for opioid use. Instead, it focuses on conservation, land management, and compliance with the Endangered Species Act. Therefore, it does not align with the 'Opioid Epidemic Response' category."
282,483,"Program Name: Grants-in-Aid to Indian Tribes (NPS)
Agency: Department of the Interior
Mission/Purpose: Other general government
Program Description: These grants assist a growing number (currently over 200) of Tribal Historic Preservation Offices in historic preservation activities and compliance with federal preservation mandates, including activities required by the National Historic Preservation Act.
Recipients: Indian/Native American Tribal Government
Beneficiaries: Federally Recognized Indian Tribal Governments",,0.0,[],"The program description does not mention anything related to health-related prevention, treatment, recovery and overdose death prevention for opioid use. Instead, it focuses on historic preservation activities and compliance with federal preservation mandates for Tribal Historic Preservation Offices."
283,488,"Program Name: Human Services Program Oversight (BIA)
Agency: Department of the Interior
Mission/Purpose: Area and regional development
Program Description: The Bureau of Indian Affairs' Human Services Program Oversight program consists of Human Services staff, in consultation with tribes, working to ensure individual Indians residing on or near reservations receive emergency assistance for essential items such as food, clothing, shelter, and utility payment assistance. The long-term goal of this program is to improve the living conditions of American Indians and Alaska Native individuals and families.
Recipients: Indian/Native American Tribal Government; Individual
Beneficiaries: Federally Recognized Indian Tribal Governments; American Indian",,0.0,[],"The program description does not mention any activities related to the prevention, treatment, recovery, or overdose death prevention for opioid use. Instead, it focuses on providing emergency assistance for essential items such as food, clothing, shelter, and utility payment assistance to American Indians and Alaska Native individuals and families."
284,515,"Program Name: Probate - TPA (BIA)
Agency: Department of the Interior
Mission/Purpose: Area and regional development
Program Description: The BIA probate program provides the staff and tools needed to administer probate services to American Indian and Alaska Native beneficiaries.  Probate staff prepares a comprehensive trust estate package for adjudication by the Office of Hearings and Appeals (OHA).  The success of the program is dependent upon the successful collaboration with OHA, the Division of Land Title & Records (DLTR), the Office of the Special Trustee for American Indians (OST) and family of the decedent.
 
The probate management process consists of four major activities: pre-case preparation, case preparation, case adjudication, and case closing.  The BIA performs pre-case preparation, case preparation, and coordinates case closing; OHA performs the case adjudication activity.  The probate business process will be continuously modified as new tools and research methods are implemented to improve the efficiency of probate services.
Recipients: U.S. Federal Government
Beneficiaries: Federally Recognized Indian Tribal Governments; American Indian",,0.0,[],"The program description does not mention anything related to health-related prevention, treatment, recovery, or overdose death prevention for opioid use. Instead, it focuses on probate services for American Indian and Alaska Native beneficiaries. Therefore, it does not fit the 'Opioid Epidemic Response' category."
285,520,"Program Name: Rentals [GSA/Direct] (BIA)
Agency: Department of the Interior
Mission/Purpose: Area and regional development
Program Description: This program provides the core funding for Bureau of Indian Affairs and Bureau of Indian Education office and special purpose spaces, which includes occupancy agreements with GSA and direct leases, primarily with tribes.  Funding covers rental costs for all Indian Affairs programs including office space for Indian Affairs central, regional and agency offices, Indian education schools and offices, and Office of Justice Services law enforcement and detention centers.


Recipients: U.S. Federal Government
Beneficiaries: Federal; Federally Recognized Indian Tribal Governments",,0.0,[],"The program description does not mention anything related to health-related prevention, treatment, recovery, or overdose death prevention for opioid use. Instead, it focuses on providing funding for office and special purpose spaces for the Bureau of Indian Affairs and Bureau of Indian Education. Therefore, it does not align with the 'Opioid Epidemic Response' category."
286,528,"Program Name: Species Management Research Program -(Artificial Intelligence R&D) (USGS)
Agency: Department of the Interior
Mission/Purpose: Other natural resources
Program Description: Investments support USGS and other efforts to collect and report information on animals and plants, including threatened and endangered species, to create a more complete understanding of the Nation’s ecosystems.
Recipients: U.S. Federal Government
Beneficiaries: Federal; Scientist /Researchers; Anyone/General public; U.S. Territories; Other public institution/organization; Public nonprofit institution/organization; Local; State",,0.0,[],"The program description does not mention anything related to health, prevention, treatment, recovery, or overdose death prevention for opioid use. Instead, it focuses on the collection and reporting of information on animals and plants, including threatened and endangered species, to create a more complete understanding of the Nation’s ecosystems."
287,538,"Program Name: Trust Land Consolidation Fund (Land Buy Back) (OST)
Agency: Department of the Interior
Mission/Purpose: Area and regional development
Program Description: Responsible for the expenditure of the $1.9B Trust Land Consolidation Fund authorized by the Settlement agreement in Cobell V. Salazar, No. 96-CV-1285-JR and confirmed by the Claims Resolution Act of 2010.
Recipients: Indian/Native American Tribal Government; U.S. Federal Government; Individual
Beneficiaries: American Indian; Federally Recognized Indian Tribal Governments",,0.0,[],"The program description does not mention anything related to health, prevention, treatment, recovery, or overdose death prevention for opioid use. Instead, it focuses on land consolidation and settlement agreements, which are unrelated to the opioid epidemic."
288,610,"Program Name: Health Care for Homeless Veterans (HCHV)
Agency: Department of Veterans Affairs
Mission/Purpose: Hospital and medical care for veterans
Program Description: HCHV’s mission is to reduce homelessness among veterans by connecting them with health care and other needed services. Through outreach, case management, and contract residential services, HCHV helps place chronically homeless veterans —  especially those with serious mental health diagnoses and/or substance use disorders — in VA or community-based programs that provide quality housing and services that meet their specialized needs.
Recipients: U.S. Federal Government; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status
Beneficiaries: Veteran/Service person/Reservist (including dependents)",,0.4,"['substance use disorders', 'health care', 'connecting them with health care and other needed services']","The program description mentions providing health care services to veterans, particularly those with substance use disorders. This could potentially include opioid use disorders. However, the program does not specifically mention opioids or overdose prevention, which are key aspects of the 'Opioid Epidemic Response' category. The program's primary focus seems to be on homelessness and mental health, rather than specifically on opioid use."
289,615,"Program Name: National Call Center for Homeless Veterans (NCCHV)
Agency: Department of Veterans Affairs
Mission/Purpose: Hospital and medical care for veterans
Program Description: Veterans who are homeless or at risk of homelessness—and their family members, friends and supporters—can make the call to or chat online with the National Call Center for Homeless Veterans, where trained counselors are ready to talk confidentially 24 hours a day, 7 days a week.
Recipients: U.S. Federal Government
Beneficiaries: Veteran/Service person/Reservist (including dependents)",,0.0,[],"The program description does not mention anything related to opioid use, prevention, treatment, recovery, or overdose death prevention. Instead, it focuses on providing support for homeless veterans or those at risk of homelessness."
290,621,"Program Name: VA Opioid Prevention, Treatment, and Programs
Agency: Department of Veterans Affairs
Mission/Purpose: Hospital and medical care for veterans
Program Description: VA continues to pursue a comprehensive strategy to promote safe prescribing of opioids when indicated for effective pain management and to directly address treatment of opioid use disorder and prevention of opioid overdose.  VA's Opioid Safety Initiative ensures pain management is addressed thoughtfully, compassionately, and safely making opioid use visible at all levels of the organization complementing other program activities designed to address opioid use disorder to include Overdose Education and Naloxone Distribution,  State Prescription Drug Monitoring, and Medication Take-Back Services.
Recipients: U.S. Federal Government
Beneficiaries: Veteran/Service person/Reservist (including dependents)",Opioid Epidemic Response,1.0,"['VA Opioid Prevention, Treatment, and Programs', 'comprehensive strategy to promote safe prescribing of opioids', 'treatment of opioid use disorder', 'prevention of opioid overdose', ""VA's Opioid Safety Initiative"", 'Overdose Education and Naloxone Distribution', 'State Prescription Drug Monitoring', 'Medication Take-Back Services']","['The program name directly references opioid prevention and treatment, which aligns with the category definition.', 'The program description mentions a comprehensive strategy to promote safe prescribing of opioids, which falls under prevention in the category definition.', 'The program addresses treatment of opioid use disorder, which is a key aspect of the category definition.', 'The program includes measures for prevention of opioid overdose, which is another key aspect of the category definition.', ""The program's Opioid Safety Initiative and other activities like Overdose Education and Naloxone Distribution, State Prescription Drug Monitoring, and Medication Take-Back Services all align with the category definition's focus on prevention, treatment, recovery and overdose death prevention for opioid use.""]"
291,624,"Program Name: Veteran Readiness and Employment (VR&E) Program
Agency: Department of Veterans Affairs
Mission/Purpose: Veterans education, training, and rehabilitation
Program Description: The VR&E Program provides all services and assistance necessary to help veterans and service members with service-connected disabilities achieve maximum independence in daily living and to prepare for, obtain, and maintain suitable employment. The VR&E Program is the only federally mandated program established to provide veterans with service-connected disabilities with comprehensive vocational rehabilitation benefits potentially leading to employment.
Recipients: Public/State Controlled Institution; Individual; Private Educational Institution, Nonprofit; Private Educational Institution, For Profit
Beneficiaries: Veteran/Service person/Reservist (including dependents)",,0.0,[],"The program description does not mention any elements related to the prevention, treatment, recovery, or overdose death prevention for opioid use. Instead, it focuses on education, training, and rehabilitation for veterans with service-connected disabilities, aiming to help them achieve independence and employment. Therefore, it does not align with the 'Opioid Epidemic Response' category."
292,648,"Program Name: Native American/Native Hawaiian Museum Services Program
Agency: Institute of Museum and Library Services
Mission/Purpose: Community development
Program Description: To support Indian tribes and organizations that primarily serve and represent Native Hawaiians in sustaining heritage, culture, and knowledge through exhibitions, educational services and programming, professional development, and collections stewardship.
Recipients: Indian/Native American Tribal Government
Beneficiaries: Federally Recognized Indian Tribal Governments",,0.0,[],"The program description does not mention anything related to health-related prevention, treatment, recovery and overdose death prevention for opioid use. Instead, it focuses on supporting Indian tribes and organizations in sustaining heritage, culture, and knowledge through exhibitions, educational services and programming, professional development, and collections stewardship."
293,658,"Program Name: Earth Science Technology
Agency: National Aeronautics and Space Administration
Mission/Purpose: Space flight, research and supporting activities
Program Description: The Earth Science Technology Program (ESTP) enables previously infeasible science investigations, improves existing measurement capabilities, and reduces the cost, risk, and/or development times for Earth science instruments and information systems.
Recipients: U.S. Federal Government; For-Profit Organization; Private Educational Institution, Nonprofit
Beneficiaries: Anyone/General public",,0.0,[],"The program description does not contain any references to health-related prevention, treatment, recovery, or overdose death prevention for opioid use. Instead, it focuses on space flight, research, and supporting activities, specifically related to Earth science technology. Therefore, it does not align with the 'Opioid Epidemic Response' category."
294,659,"Program Name: Earth Systematic Missions
Agency: National Aeronautics and Space Administration
Mission/Purpose: Space flight, research and supporting activities
Program Description: The Earth Systematic Missions (ESM) program includes a broad range of multi-disciplinary science investigations aimed at understanding the Earth system and its response to natural and human-induced forces and changes. Understanding these forces will help determine how to predict future changes and mitigate or adapt to these changes.
Recipients: U.S. Federal Government; For-Profit Organization; Private Educational Institution, Nonprofit
Beneficiaries: Anyone/General public",,0.0,[],"The program description does not contain any keywords, phrases, or references related to health-related prevention, treatment, recovery, or overdose death prevention for opioid use. Instead, it focuses on space flight, research, and understanding the Earth system and its response to natural and human-induced forces and changes."
295,661,"Program Name: Minority University Research and Education Project (MUREP)
Agency: National Aeronautics and Space Administration
Mission/Purpose: Research and general education aids
Program Description: The Minority University Research and Education Project (MUREP) provides financial assistance via competitive awards to Minority Serving Institutions, including Historically Black Colleges and Universities, Hispanic Serving Institutions, Asian American and Native American Pacific Islander Serving Institutions, Alaska Native and Native Hawaiian-Serving Institutions, American Indian Tribal Colleges and Universities, and Native American-Serving Nontribal Institutions. These awards are intended to enhance the research, academic and technology capabilities of MSIs.
Recipients: Private Educational Institution, Nonprofit; Public/State Controlled Institution; Nonprofit with 501(c)(3) Status
Beneficiaries: Public nonprofit institution/organization; Education Professional; Minority Groups; Education (13+); Education (9-12); Education (0-8); Scientist /Researchers; Graduate Student; Student Trainee",,0.0,[],"The program description for the Minority University Research and Education Project (MUREP) does not contain any references or keywords related to health, prevention, treatment, recovery, or overdose death prevention for opioid use. The program is focused on providing financial assistance to Minority Serving Institutions to enhance their research, academic, and technology capabilities."
296,664,"Program Name: Small Business Innovation Research (SBIR) & Small Business Technology Transfer (STTR)
Agency: National Aeronautics and Space Administration
Mission/Purpose: Space flight, research and supporting activities
Program Description: NASA’s Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) programs leverage the Nation’s innovative small business community to support research and development in support of NASA's mission in human exploration, science, and aeronautics. In particular, this program will support NASA's Moon to Mars objectives by identifying and accelerating relevant technologies drawn from the SBIR portfolios through post Phase II awards. These programs provide the small business sector with an opportunity to develop technology for NASA and to commercialize that technology to spur economic growth.
Recipients: Public/State Controlled Institution; For-Profit Organization; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Private Educational Institution, For Profit
Beneficiaries: Federal; Anyone/General public; Private nonprofit institution/organization; Profit Organization; Small Business; Other public institution/organization; Public nonprofit institution/organization",,0.0,[],"The program description does not contain any references to health-related prevention, treatment, recovery, or overdose death prevention for opioid use. Instead, it focuses on space flight, research, and supporting activities, specifically through small business innovation and technology transfer. Therefore, it does not align with the 'Opioid Epidemic Response' category."
297,672,"Program Name: Astronomy & Astrophysics Postdoctoral Fellowships (AAPF)
Agency: National Science Foundation
Mission/Purpose: General science and basic research
Program Description: Astronomy & Astrophysics Postdoctoral Fellowships (AAPF) provide an opportunity for highly qualified young investigators within 3 years of obtaining their PhD to carry out an integrated program of independent research and education. Fellows may engage in research of observational, instrumental, or theoretical nature, in combination with a coherent educational plan for the duration of the fellowship. The program supports researchers for a period of up to 3 years with fellowships that can be taken to the institution of their choice. The program is intended to recognize young investigators of significant potential, and provide them with experience in research and education that will establish them in positions of distinction and leadership in the community.
Recipients: Individual
Beneficiaries: Scientist /Researchers",,0.0,[],"The program description for the Astronomy & Astrophysics Postdoctoral Fellowships (AAPF) does not contain any references or keywords related to health-related prevention, treatment, recovery, or overdose death prevention for opioid use. The program is focused on supporting young investigators in the field of astronomy and astrophysics, which is unrelated to the opioid epidemic."
298,681,"Program Name: Graduate Research Fellowship (GRFP)
Agency: National Science Foundation
Mission/Purpose: General science and basic research
Program Description: Graduate Research Fellowship (GRFP) recognizes and supports outstanding graduate students who are pursuing research-based master's and doctoral degrees in science and engineering. GRF provides three years of support for the graduate education of individuals who have demonstrated their potential for significant achievements in science and engineering.
Recipients: Nonprofit with 501(c)(3) Status; Public/State Controlled Institution; Private Educational Institution, Nonprofit
Beneficiaries: Graduate Student; Scientist /Researchers",,0.0,[],"The Graduate Research Fellowship (GRFP) program is focused on supporting graduate students in science and engineering fields. There is no mention of health-related prevention, treatment, recovery, or overdose death prevention for opioid use in the program description. Therefore, it does not align with the 'Opioid Epidemic Response' category."
299,697,"Program Name: SBE Postdoctoral Research Fellowships  (SPRF)-Fundamental Research
Agency: National Science Foundation
Mission/Purpose: General science and basic research
Program Description: The SBE Postdoctoral Research Fellowship (SPRF) aims to support research that builds fundamental knowledge of human behavior, interaction, social and economic systems, organizations and institutions. Postdoctoral fellowships supported by this program must primarily fall within the purview of the SBE sciences.
Recipients: Individual
Beneficiaries: Scientist /Researchers",,0.0,[],"The program description does not mention anything related to health-related prevention, treatment, recovery, or overdose death prevention for opioid use. Instead, it focuses on supporting research in human behavior, interaction, social and economic systems, organizations, and institutions. Therefore, it does not fit into the 'Opioid Epidemic Response' category."
300,0,"Program Name: Area Development Base Program
Agency: Appalachian Regional Commission
Mission/Purpose: Area and regional development
Program Description: ARC’s Area Development Base Program relies on a flexible “bottom up” approach to economic and community development, empowering Appalachian communities to work with their state governments to design impactful investment opportunities. The program makes investments in two general areas: critical infrastructure (e.g., water and wastewater systems, transportation networks, broadband) and business and workforce development (e.g., entrepreneurship, worker training and education, food systems, leadership, and other human capital development).
Recipients: Nonprofit with 501(c)(3) Status; Domestic Local Government (includes territories unless otherwise specified); U.S. State Government (including the District of Columbia); Public/State Controlled Institution
Beneficiaries: State; Rural; Other public institution/organization; Public nonprofit institution/organization; Local",STEM Education,0.0,[],"The program description does not mention any focus on Science, Technology, Engineering, Math, or related disciplines, topics, or issues. Instead, it focuses on economic and community development, infrastructure, and business and workforce development."
301,4,"Program Name: AmeriCorps NCCC
Agency: Corporation for National and Community Service
Mission/Purpose: Elementary, secondary, and vocational education
Program Description: AmeriCorps NCCC is a full-time, team-based, residential program for 18-24-year-olds. Whether clearing trails for a national park or building homes for families in need, AmeriCorps NCCC members engage in a variety of projects in multiple communities while developing leadership and teamwork skills. AmeriCorps NCCC FEMA Corps serves communities, in coordination with FEMA, through disaster preparedness, response, and recovery.
Recipients: U.S. State Government (including the District of Columbia); Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government
Beneficiaries: Anyone/General public",STEM Education,0.0,[],"The AmeriCorps NCCC program does not provide any specific focus on Science, Technology, Engineering, and Math (STEM) disciplines, topics, or issues. The program is more focused on community service, leadership, and teamwork skills. There is no mention of any STEM-related activities or education in the program description."
302,6,"Program Name: AmeriCorps State & National (Competitive)
Agency: Corporation for National and Community Service
Mission/Purpose: Elementary, secondary, and vocational education
Program Description: AmeriCorps State and National matches individuals with organizations that see service as solution to local, regional, and national challenges. There are thousands of opportunities in locations across the country to serve with nonprofits, schools, public agencies, tribes, and community and faith-based groups. Most AmeriCorps grant funding goes to the State Service Commissions, which in turn award grants to organizations to respond to local needs.
Recipients: U.S. State Government (including the District of Columbia); Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government
Beneficiaries: Anyone/General public",STEM Education,0.0,[],"The program description for AmeriCorps State & National (Competitive) does not mention any focus on Science, Technology, Engineering, or Math (STEM) disciplines, topics, or issues. The program seems to be more focused on general service and community engagement, rather than specific educational content or disciplines."
303,7,"Program Name: AmeriCorps State & National (Formula)
Agency: Corporation for National and Community Service
Mission/Purpose: Elementary, secondary, and vocational education
Program Description: AmeriCorps State and National matches individuals with organizations that see service as solution to local, regional, and national challenges. There are thousands of opportunities in locations across the country to serve with nonprofits, schools, public agencies, tribes, and community and faith-based groups. Most AmeriCorps grant funding goes to the State Service Commissions, which in turn award grants to organizations to respond to local needs.
Recipients: U.S. State Government (including the District of Columbia); Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government
Beneficiaries: Anyone/General public",STEM Education,0.0,[],"The program description for AmeriCorps State & National (Formula) does not provide any specific information or clues that suggest it is primarily focused on Science Technology Engineering and Math (STEM) disciplines, topics, or issues. The program seems to be more focused on general service and community engagement, rather than specific educational disciplines."
304,8,"Program Name: AmeriCorps VISTA
Agency: Corporation for National and Community Service
Mission/Purpose: Elementary, secondary, and vocational education
Program Description: AmeriCorps VISTA places individuals with organizations that fight poverty, to build capacity and make sustainable change. Through fundraising, grant writing, volunteer recruitment, and more, AmeriCorps VISTA members gain experience and leadership skills that put them on track for a life of service in the public, private, or nonprofit sector.
Recipients: U.S. State Government (including the District of Columbia); Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government
Beneficiaries: Anyone/General public",STEM Education,0.0,[],"The program description for AmeriCorps VISTA does not mention any focus on Science, Technology, Engineering, or Math (STEM) disciplines, topics, or issues. The program's mission and purpose are centered around fighting poverty, capacity building, and sustainable change, not STEM education. Therefore, there are no clues in the program description that match the 'STEM Education' category definition."
305,10,"Program Name: Coastal Field Data Collection
Agency: Corps of Engineers--Civil Works
Mission/Purpose: Water resources
Program Description: The Corps uses this funding to support the operation of a Corps research facility, a coastal observatory in Duck, North Carolina, which  measures, analyzes, and assembles long-term, high-resolution coastal ocean data sets.  More specifically, the Corps uses this funding to:

• continue this long-term coastal ocean data collection, and associated data requirements of the real-time model test bed.  These wave observation systems provide data to advance coastal wave modeling technology and coastal inundation predictions.
• continue the long-term coastal morphology survey program.  These observations provide insight to erosion, inundation, and dune resilience, and inform development of sediment transport, shoreline change, and beach morphology models.
• continue the collection of estuarine data (waves, water levels, winds, etc.) to assist in understanding sediment transport processes in estuarine environments, which supports research on various Corps activities including: re-suspension due to dredging, dredge material placement, and ecosystem restoration.


Recipients: U.S. Federal Government
Beneficiaries: State; U.S. Citizen; U.S. Territories; Local",,0.7,"['measures, analyzes, and assembles long-term, high-resolution coastal ocean data sets', 'advance coastal wave modeling technology and coastal inundation predictions', 'inform development of sediment transport, shoreline change, and beach morphology models', 'understanding sediment transport processes in estuarine environments', 'research on various Corps activities including: re-suspension due to dredging, dredge material placement, and ecosystem restoration']","The program description involves a lot of scientific research and data analysis, particularly in the fields of environmental science and technology. It involves the use of technology to measure and analyze data, the development of models for predicting coastal changes, and research into sediment transport processes. These activities align with the STEM disciplines of science, technology, and potentially engineering and mathematics."
306,25,"Program Name: Precipitation Studies
Agency: Corps of Engineers--Civil Works
Mission/Purpose: Water resources
Program Description: The Corps uses these funds to perform hydrologic and meteorological analyses of a general nature.  These analyses focus on the specific regions of the country that are most likely to experience widespread flooding.  With these funds, the Corps will also:

• Compile and review the meteorological aspects of storm data;
• develop meteorological parameters pertaining to hurricanes, northeasters, and other wind phenomena;
• develop hydrologic criteria for use in evaluating flood risks, and in floodplain management generally;
• update precipitation frequency estimates for regions and the nation;
• conduct precipitation analyses including depth-duration-frequency estimation for regions and the nation; and
• maintain the Precipitation Frequency Data Server portal.
Recipients: U.S. Federal Government
Beneficiaries: State; U.S. Citizen; U.S. Territories; Local",,0.2,"['hydrologic and meteorological analyses', 'meteorological aspects of storm data', 'meteorological parameters pertaining to hurricanes, northeasters, and other wind phenomena', 'hydrologic criteria for use in evaluating flood risks', 'update precipitation frequency estimates', 'conduct precipitation analyses', 'Precipitation Frequency Data Server portal']","The program description indicates that it involves the study and analysis of meteorological and hydrological data, which falls under the physical and natural sciences aspect of STEM. However, there is no mention of any educational component, either formal or informal, in the program description. The program seems to be more focused on research and data analysis rather than education."
307,37,"Program Name: Health Facilities
Agency: Denali Commission
Mission/Purpose: Community development
Program Description: The Commission provides funding for the planning, design,  construction, and equipping of primary care clinics in rural Alaska. Program funds are also used to support new hospital projects, behavioral health facilities, and rural Emergency Medical Services.
Recipients: Indian/Native American Tribal Government; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status
Beneficiaries: State; Native American Organizations; Federally Recognized Indian Tribal Governments; Local",,0.0,[],"The program description does not mention any elements related to Science, Technology, Engineering, Math, or computer science disciplines, topics, or issues. The focus of the program is on health facilities and community development, specifically in rural Alaska. It does not provide any form of education, formal or informal, in the STEM fields."
308,38,"Program Name: Housing
Agency: Denali Commission
Mission/Purpose: Housing assistance
Program Description: The Commission provides funding for the design and construction of senior housing, long term-care facilities, teacher housing, domestic violence shelters, and adolescent residential treatment facilities.
Recipients: U.S. State Government (including the District of Columbia); Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Indian/Native American Tribal Government
Beneficiaries: State; Native American Organizations; Federally Recognized Indian Tribal Governments; Local",,0.0,[],"The program description does not mention any elements related to Science, Technology, Engineering, Math (STEM) disciplines, topics, or issues. The program is focused on providing housing assistance, which does not align with the STEM Education category."
309,45,"Program Name: APHIS - AgDiscovery
Agency: Department of Agriculture
Mission/Purpose: Agricultural research and services
Program Description: AgDiscovery is a unique opportunity for students to explore agricultural sciences, and gain knowledge about careers in animal and plant disciplines, wildlife management, veterinary medicine, biotechnology, entomology, food safety, food production, agribusiness, forestry, and much more. Students experience hands-on learning workshops, behind-the-scenes tours, laboratory and field exercises, in addition to a variety of cultural and teambuilding activities.
Recipients: Public/State Controlled Institution
Beneficiaries: Education (9-12); Youth (16-21)",STEM Education,0.9,"['explore agricultural sciences', 'careers in animal and plant disciplines', 'wildlife management', 'veterinary medicine', 'biotechnology', 'entomology', 'food safety', 'food production', 'agribusiness', 'forestry', 'hands-on learning workshops', 'laboratory and field exercises', 'Education (9-12)', 'Youth (16-21)']","The program description includes several references to scientific disciplines such as agricultural sciences, animal and plant disciplines, wildlife management, veterinary medicine, biotechnology, entomology, food safety, food production, agribusiness, and forestry. These are all part of the STEM disciplines as defined in the category definition. Additionally, the program involves hands-on learning workshops and laboratory and field exercises, which are indicative of a STEM education program. The program is also targeted towards an educational age group (9-12) and youth (16-21), which is consistent with the target audience of STEM education programs."
310,47,"Program Name: APHIS - Work conducted to assist with certain animal, plant and wildlife issues
Agency: Department of Agriculture
Mission/Purpose: Agricultural research and services
Program Description: Work conducted to assist with certain animal, plant and wildlife issues
Recipients: U.S. Federal Government
Beneficiaries: Federally Recognized Indian Tribal Governments; Native American Organizations; Minority Groups",,0.0,[],"The program description does not provide any information about education or training in Science, Technology, Engineering, or Math (STEM) disciplines. The program is focused on agricultural research and services, which may involve some aspects of science, but it does not explicitly mention any educational component or focus on STEM disciplines."
311,74,"Program Name: NIFA - Extension Activities - Capacity
Agency: Department of Agriculture
Mission/Purpose: Agricultural research and services
Program Description: The mission of the Cooperative Extension System, a national educational network, is to help people improve their lives through an educational process that uses scientific knowledge focused on issues and needs.
Recipients: Indian/Native American Tribal Government; Domestic Local Government (includes territories unless otherwise specified); Public/State Controlled Institution
Beneficiaries: State; Farmer/Rancher/Agriculture Producer; Graduate Student; Student Trainee; Native American Organizations; Anyone/General public; Minority Groups; Individual/Family; Federally Recognized Indian Tribal Governments; Other public institution/organization; Public nonprofit institution/organization; Local",,0.6,"['educational process', 'scientific knowledge', 'issues and needs', 'Agricultural research and services']","The program description mentions an 'educational process' which aligns with the STEM Education category's focus on formal or informal education. The use of 'scientific knowledge' also suggests a focus on science, a key component of STEM. The mention of 'Agricultural research and services' suggests a focus on applied science, which is a part of STEM disciplines. However, the program does not explicitly mention technology, engineering, or mathematics, which are also key components of STEM."
312,75,"Program Name: NIFA - Extension Activities - Competitive
Agency: Department of Agriculture
Mission/Purpose: Agricultural research and services
Program Description: The mission of the Cooperative Extension System, a national education network, is to help people improve their lives through an educational process that uses scientific knowledge focused on issues and needs.
Recipients: Public/State Controlled Institution; U.S. State Government (including the District of Columbia); Private Educational Institution, Nonprofit; Private Educational Institution, For Profit
Beneficiaries: Public nonprofit institution/organization; Anyone/General public; Other private institution/ organization; Individual/Family; Federally Recognized Indian Tribal Governments",STEM Education,0.7,"['Agricultural research and services', 'educational process that uses scientific knowledge', 'Cooperative Extension System, a national education network']","The program is focused on agricultural research and services, which can be considered a part of the natural sciences, a STEM discipline. The program also uses an educational process that uses scientific knowledge, which aligns with the STEM Education category. Furthermore, the program is part of a national education network, indicating a formal or informal education system."
313,77,"Program Name: NIFA - Research and Education Activities - Capacity
Agency: Department of Agriculture
Mission/Purpose: Agricultural research and services
Program Description: Research and Education programs administered by NIFA are the U.S. Dept. of Agriculture's principal entrée to the university system of the United States for the purposes of conducting agricultural research and education programs as authorized by the Hatch Act of 1887 and many more.
Recipients: Indian/Native American Tribal Government; Private Educational Institution, Nonprofit; Private Educational Institution, For Profit; Public/State Controlled Institution; Domestic Local Government (includes territories unless otherwise specified)
Beneficiaries: State; Scientist /Researchers; Education Professional; Native American Organizations; Land/ Property Owner; Graduate Student; Anyone/General public; Federally Recognized Indian Tribal Governments; Other public institution/organization; Public nonprofit institution/organization",STEM Education,0.7,"['Research and Education programs', 'agricultural research', 'education programs', 'Scientist /Researchers', 'Education Professional', 'Graduate Student']","The program description mentions 'Research and Education programs' which aligns with the STEM Education category. The program is focused on 'agricultural research', which can be considered a part of environmental science, a STEM discipline. The beneficiaries of the program include 'Scientist /Researchers', 'Education Professional', and 'Graduate Student', which suggests a focus on education and research in a scientific field."
