,idx,Text,real_categories,found_categories,keywords,reasoning,ll_found,ll_reasoning
295,295,"Program Name: Opioid Overdose Prevention and Surveillance-Federal Pay and Benefits
Agency: Department of Health and Human Services
Mission/Purpose: Health research and training
Program Description: Prevent drug-related harms and overdose deaths
Recipients: U.S. Federal Government
Beneficiaries: Federal",['Opioid Epidemic Response'],['Opioid Epidemic Response'],"['Opioid Overdose Prevention and Surveillance', 'Prevent drug-related harms and overdose deaths', 'Department of Health and Human Services', 'Health research and training']","The program name and description indicate a focus on preventing opioid-related harms and overdose deaths. The agency is the Department of Health and Human Services, which further supports the categorization. The mission/purpose of the program is health research and training, aligning with the category of Opioid Epidemic Response.",['Opioid Epidemic Response'],"The program name and description indicate a focus on preventing opioid-related harms and overdose deaths. The agency is the Department of Health and Human Services, which further supports the categorization. The mission/purpose of the program is health research and training, aligning with the category of Opioid Epidemic Response."
296,296,"Program Name: Opioid Treatment Programs/Regulatory Activities
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: The program allows qualified practitioners to provide Medication-Assisted Treatment (MAT) for the treatment of opioid use disorders.
Recipients: U.S. State Government (including the District of Columbia); Private Educational Institution, Nonprofit; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government
Beneficiaries: Public nonprofit institution/organization; Health Professional; Other public institution/organization",['Opioid Epidemic Response'],['Opioid Epidemic Response'],"['Opioid Treatment Programs/Regulatory Activities', 'Medication-Assisted Treatment (MAT)', 'treatment of opioid use disorders']",The program focuses on the treatment of opioid use disorders through Medication-Assisted Treatment (MAT).,"['Native American', 'Opioid Epidemic Response']","The program mentions 'Indian/Native American Tribal Government' as one of the recipients, which aligns with Lesson 1. Additionally, the program focuses on the treatment of opioid use disorders through Medication-Assisted Treatment (MAT), which aligns with Lesson 4."
297,297,"Program Name: Other AI/AN- Center for Substance Abuse Treatment (CSAT)
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: Promote community-based substance use disorder treatment and recovery services for individuals and families in every community; provides national leadership to increase access, reduce barriers, and promote high quality, effective treatment and recovery services; Works to close the gap between available treatment capacity and demand
Recipients: Indian/Native American Tribal Government
Beneficiaries: American Indian",['Native American'],['Native American'],"['AI/AN', 'Center for Substance Abuse Treatment (CSAT)', 'Promote community-based substance use disorder treatment and recovery services', 'Increase access, reduce barriers, and promote high quality, effective treatment and recovery services', 'Close the gap between available treatment capacity and demand']","The program focuses on promoting substance use disorder treatment and recovery services, increasing access, reducing barriers, and closing the gap between treatment capacity and demand. The program is specifically targeted towards the AI/AN population.",[],The program does not mention any keywords or phrases that match the lessons learned criteria.
298,298,"Program Name: Parasitic Diseases and Malaria - Contractor Services
Agency: Department of Health and Human Services
Mission/Purpose: Health research and training
Program Description: Eradicate, eliminate and control parasitic diseases and malaria globally, and protect Americans from the threat of these diseases
Recipients: Foreign Non-Governmental Entity; International Organization; For-Profit Organization; Nonprofit without 501(c)(3) IRS Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution
Beneficiaries: Federal",['Global Health'],['Global Health'],"['Parasitic Diseases and Malaria', 'Eradicate, eliminate and control parasitic diseases and malaria globally', 'Protect Americans from the threat of these diseases']","The program focuses on eradicating and controlling parasitic diseases and malaria globally, which aligns with the Global Health category. Additionally, the program aims to protect Americans from the threat of these diseases, further supporting the categorization.",[],None of the lessons learned apply to the program.
299,299,"Program Name: Parasitic Diseases and Malaria - Discretionary Grants
Agency: Department of Health and Human Services
Mission/Purpose: Health research and training
Program Description: Eradicate, eliminate and control parasitic diseases and malaria globally, and protect Americans from the threat of these diseases
Recipients: Foreign Government; Private Educational Institution, Nonprofit; International Organization; Foreign Non-Governmental Entity
Beneficiaries: Anyone/General public",['Global Health'],['Global Health'],"['Parasitic Diseases and Malaria', 'Eradicate, eliminate and control parasitic diseases and malaria globally', 'Protect Americans from the threat of these diseases']","The program focuses on eradicating and controlling parasitic diseases and malaria globally, as well as protecting Americans from these diseases. This aligns with the category of Global Health.",[],None of the lessons learned apply to the program.
300,300,"Program Name: Parasitic Diseases and Malaria - Federal Pay and Benefits
Agency: Department of Health and Human Services
Mission/Purpose: Health research and training
Program Description: Eradicate, eliminate and control parasitic diseases and malaria globally, and protect Americans from the threat of these diseases
Recipients: U.S. Federal Government
Beneficiaries: Federal",['Global Health'],['Global Health'],"['Parasitic Diseases', 'Malaria', 'Health research and training', 'Eradicate, eliminate and control parasitic diseases and malaria globally', 'Protect Americans from the threat of these diseases', 'U.S. Federal Government', 'Federal Pay and Benefits']","The program focuses on health research and training, specifically on eradicating and controlling parasitic diseases and malaria globally. It also aims to protect Americans from these diseases. The program is funded by the U.S. Federal Government and provides federal pay and benefits. Based on these clues, the program can be categorized under Global Health.",[],None of the lessons learned apply to the program description.
301,301,"Program Name: Pregnant and Postpartum Women
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: The program provides comprehensive residential substance abuse treatment, prevention, and recovery support services for pregnant and postpartum women, their minor children, and for other family members.
Recipients: Domestic Local Government (includes territories unless otherwise specified); Private Educational Institution, Nonprofit; Public/State Controlled Institution
Beneficiaries: Women",['Opioid Epidemic Response'],['Homelessness'],"['pregnant and postpartum women', 'residential substance abuse treatment', 'prevention', 'recovery support services']","The program focuses on providing comprehensive residential substance abuse treatment, prevention, and recovery support services for pregnant and postpartum women. This aligns with the category of 'Homelessness' as it addresses the specific needs of a vulnerable population at risk of homelessness.",['Homelessness'],The program does not mention any keywords or phrases that align with the lessons learned.
302,302,"Program Name: Project AWARE State Grants- Center for Mental Health Services (CMHS)
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: Build and expand the capacity of State Educational Agencies to: (1) increase awareness of mental health issues among school-aged youth; (2) provide training for school personnel and other adults who Interact with school-age youth to detect and respond to mental health issues in children and youth; (3) connect children, youth, and families who may have behavioral health issues with appropriate services.
Recipients: Indian/Native American Tribal Government
Beneficiaries: Federally Recognized Indian Tribal Governments; American Indian; Native American Organizations",['Native American'],['STEM Education'],"['mental health', 'school-aged youth', 'training for school personnel', 'behavioral health issues']","The program description mentions mental health issues among school-aged youth and the need for training school personnel to detect and respond to these issues. It also mentions connecting children, youth, and families with appropriate services for behavioral health issues. These clues indicate a focus on mental health in an educational setting.","['Native American', 'STEM Education']","The program mentions 'Indian/Native American Tribal Government' and 'Native American Organizations', indicating a focus on Native American communities. Additionally, the program description mentions mental health issues among school-aged youth and the need for training school personnel, which aligns with the STEM Education category."
303,303,"Program Name: Project Launch- Center for Mental Health Services (CMHS)
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: Promotes the wellness of young children, from birth to 8 years of age, by addressing the social, emotional, cognitive, physical and behavioral aspects of their development by providing local communities or tribes the opportunity to disseminate effective and innovative early childhood mental health practices and services, ultimately leading to better outcomes for young children and their families.
Recipients: Indian/Native American Tribal Government
Beneficiaries: Federally Recognized Indian Tribal Governments; American Indian; Native American Organizations",['Native American'],['Native American'],"['Center for Mental Health Services (CMHS)', 'Department of Health and Human Services', 'Health care services', 'Promotes the wellness of young children', 'Early childhood mental health practices and services']","The program is focused on promoting the wellness of young children and providing early childhood mental health practices and services. It is administered by the Center for Mental Health Services (CMHS) under the Department of Health and Human Services. Based on these clues, the program is likely related to mental health and falls under the Native American category.",['Native American'],"Based on Lesson 1, the program mentions 'Indian/Native American Tribal Government' and 'Native American Organizations', indicating a focus on Native American communities. Therefore, the program falls under the 'Native American' category."
304,304,"Program Name: Projects for Assistance in Transition from Homelessness- (PATH)
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: PATH program’s efforts to identify primary care, behavioral disorder treatment, and housing for individuals who experience chronic homelessness. PATH program provide services to individuals who are experiencing homelessness and a Serious Mental Illness (SMI).
Recipients: U.S. State Government (including the District of Columbia); Domestic Local Government (includes territories unless otherwise specified)
Beneficiaries: Person with substance use disorder; Individuals with Developmental Disabilities; Alcoholic",['Homelessness'],"['Healthcare', 'Homelessness']","['Program Name: Projects for Assistance in Transition from Homelessness- (PATH)', 'Agency: Department of Health and Human Services', 'Mission/Purpose: Health care services', 'Program Description: PATH program’s efforts to identify primary care, behavioral disorder treatment, and housing for individuals who experience chronic homelessness. PATH program provide services to individuals who are experiencing homelessness and a Serious Mental Illness (SMI).', 'Recipients: U.S. State Government (including the District of Columbia); Domestic Local Government (includes territories unless otherwise specified)', 'Beneficiaries: Person with substance use disorder; Individuals with Developmental Disabilities; Alcoholic']","The program description mentions efforts to identify primary care, behavioral disorder treatment, and housing for individuals who experience chronic homelessness. It also states that the program provides services to individuals who are experiencing homelessness and have a Serious Mental Illness (SMI). The beneficiaries include persons with substance use disorder, individuals with developmental disabilities, and alcoholics. These clues indicate a focus on addressing homelessness and providing healthcare services to individuals with mental health and substance use disorders.",['Homelessness'],"The program description does not mention any specific native communities or organizations, so Lesson 1 does not apply. However, the program is directly addressing the issue of homelessness and aims to provide housing for individuals who experience chronic homelessness. Therefore, Lesson 10 applies."
305,305,"Program Name: Promoting Safe and Stable Families
Agency: Department of Health and Human Services
Mission/Purpose: Social services
Program Description: The Promoting Safe and Stable Families (PSSF) provides funding for family preservation, support, and reunification services, as well as post-adoption services. The program also funds the Personal Responsibility Education Program (PREP), and Title V Sexual Risk Avoidance Education (SRAE).
Recipients: Indian/Native American Tribal Government; U.S. State Government (including the District of Columbia); Domestic Local Government (includes territories unless otherwise specified)
Beneficiaries: Individual/Family; Anyone/General public; Local; State; U.S. Territories",['Native American'],['Native American'],"['Promoting Safe and Stable Families', 'family preservation', 'support', 'reunification services', 'post-adoption services', 'Personal Responsibility Education Program (PREP)', 'Title V Sexual Risk Avoidance Education (SRAE)']","The program focuses on providing support and services to families, including family preservation, support, and reunification services. It also includes post-adoption services and education programs related to personal responsibility and sexual risk avoidance. These clues indicate a focus on social services and family support.",[],The program does not mention any keywords or phrases that match the lessons learned criteria.
306,306,"Program Name: Protection and Advocacy for Individuals with Mental Illness/American Indian Consortium
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: The program ensures that the most vulnerable individuals with serious mental illness, especially those residing in public and private residential care and treatment facilities, are free from abuse, including inappropriate restraint and seclusion, neglect, and rights violations while receiving appropriate mental disorder treatment and discharge planning services.
Recipients: Indian/Native American Tribal Government
Beneficiaries: Federally Recognized Indian Tribal Governments; American Indian",['Native American'],"['HIV/AIDS', 'Native American']","['American Indian Consortium', 'Individuals with Mental Illness', 'Health care services', 'Mental disorder treatment', 'Discharge planning services']","The program focuses on providing health care services for individuals with mental illness, specifically targeting American Indian populations. It also emphasizes mental disorder treatment and discharge planning services.","['HIV/AIDS', 'Native American']","The program mentions 'Indian/Native American Tribal Government' and 'Federally Recognized Indian Tribal Governments', indicating a focus on Native American populations. Additionally, the program emphasizes mental disorder treatment, which aligns with the category of HIV/AIDS."
307,307,"Program Name: Refugee Matching Grant Program
Agency: Department of Health and Human Services
Mission/Purpose: Social services
Program Description: The Matching Grant Program is an alternative to traditional cash assistance for refugees and other humanitarian entrants, in which participants receive
services such as case management, job development, job placement and follow-up, and interim housing and cash assistance through grants awarded to participating national refugee resettlement agencies.  The purpose of the program is to help participants become self-sufficient within 180 days
from the date of eligibility for the program.
Recipients: Nonprofit with 501(c)(3) Status
Beneficiaries: Individual/Family; Refugee/ Alien",['Workforce Development'],['Workforce Development'],"['Refugee Matching Grant Program', 'Department of Health and Human Services', 'Social services', 'Alternative to traditional cash assistance', 'Case management', 'Job development', 'Job placement', 'Interim housing', 'Cash assistance', 'Grants awarded to participating national refugee resettlement agencies', 'Help participants become self-sufficient within 180 days']","The program is focused on providing social services to refugees and other humanitarian entrants, specifically through an alternative to traditional cash assistance. It includes case management, job development, job placement, and interim housing. The program aims to help participants become self-sufficient within a specific timeframe. These clues indicate a focus on workforce development and support for refugees, which aligns with the 'Workforce Development' category.",[],The program does not mention any keywords or clues that align with the applicable lessons learned.
308,308,"Program Name: Refugee Support Services
Agency: Department of Health and Human Services
Mission/Purpose: Social services
Program Description: The Refugee Support Services program provides services to address barriers to employment, such as social adjustment services, interpretation and translation, childcare, healthcare, and citizenship and naturalization services to refugees and other humanitarian entrants.
Recipients: U.S. State Government (including the District of Columbia); Nonprofit with 501(c)(3) Status
Beneficiaries: Individual/Family; Refugee/ Alien",['Workforce Development'],['Workforce Development'],"['Refugee Support Services', 'Department of Health and Human Services', 'Social services', 'barriers to employment', 'interpretation and translation', 'childcare', 'healthcare', 'citizenship and naturalization services', 'refugees and other humanitarian entrants']","The program is provided by the Department of Health and Human Services and focuses on social services, specifically addressing barriers to employment for refugees and humanitarian entrants. The program offers services such as interpretation and translation, childcare, healthcare, and citizenship and naturalization services. These clues indicate a strong connection to the 'Workforce Development' category.",['Workforce Development'],"Based on the program description, the program focuses on providing services to address barriers to employment for refugees and humanitarian entrants. It offers interpretation and translation, childcare, healthcare, and citizenship and naturalization services. These clues indicate a strong connection to the 'Workforce Development' category."
309,309,"Program Name: RHWAP Part A - Emergency Relief Grants
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: Ryan White HIV/AIDS Program (RWHAP) Part A provides grants to cities with a population of at least 50,000, which are areas severely affected by the HIV epidemic. These jurisdictions are funded as either an Eligible Metropolitan Area (EMA) or a Transitional Grant Area (TGA), depending on the severity of the epidemic in their jurisdiction.
Recipients: U.S. State Government (including the District of Columbia); Domestic Local Government (includes territories unless otherwise specified)
Beneficiaries: Low Income",['HIV/AIDS'],['HIV/AIDS'],"['Ryan White HIV/AIDS Program (RWHAP) Part A', 'Emergency Relief Grants', 'areas severely affected by the HIV epidemic', 'Eligible Metropolitan Area (EMA)', 'Transitional Grant Area (TGA)']","The program description mentions the Ryan White HIV/AIDS Program (RWHAP) Part A, which is related to HIV/AIDS. The program also focuses on areas severely affected by the HIV epidemic and provides emergency relief grants. The mention of Eligible Metropolitan Area (EMA) and Transitional Grant Area (TGA) further supports the categorization.",['HIV/AIDS'],"The program mentions the Ryan White HIV/AIDS Program (RWHAP) Part A, which is related to HIV/AIDS. The program also focuses on areas severely affected by the HIV epidemic and provides emergency relief grants. The mention of Eligible Metropolitan Area (EMA) and Transitional Grant Area (TGA) further supports the categorization. However, there is no mention of Native American tribal government or organizations, so the Native American lesson learned does not apply."
310,310,"Program Name: Rural Communities Opioid Response Program
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: The Rural Communities Opioid Response Program (RCORP) initiative aims to reduce the morbidity and mortality associated with substance use disorder (SUD), including opioid use disorder (OUD), in high risk rural communities by providing funding and technical assistance to multi-sector consortia to enable them to identify and address OUD prevention, treatment, and recovery needs at the community, county, state, and/or regional levels.
Recipients: Public/State Controlled Institution; U.S. State Government (including the District of Columbia); Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government; For-Profit Organization; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Private Educational Institution, For Profit
Beneficiaries: Individual/Family; Health Professional; Anyone/General public; Rural; Infant (0-5); Women; Alcoholic; Person with substance use disorder",['Opioid Epidemic Response'],['Opioid Epidemic Response'],"['Rural Communities Opioid Response Program', 'substance use disorder (SUD)', 'opioid use disorder (OUD)', 'high risk rural communities', 'funding and technical assistance', 'OUD prevention, treatment, and recovery needs']","The program name and program description mention the focus on addressing substance use disorder and specifically opioid use disorder in high-risk rural communities. The program aims to provide funding and technical assistance to address prevention, treatment, and recovery needs related to opioid use disorder. This aligns with the category of Opioid Epidemic Response.","['Native American', 'Opioid Epidemic Response']","The program mentions 'Indian/Native American Tribal Government' in the recipients section, which aligns with Lesson 1. Additionally, the program description explicitly focuses on addressing substance use disorder and opioid use disorder in high-risk rural communities, which aligns with Lesson 4."
311,311,"Program Name: RWHAP - Ending the HIV Epidemic Initiative
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: The Ending the HIV Epidemic (EHE): A Plan for America initiative is an HHS-wide effort to reduce new infections by 75 percent in the next five years and by 90 percent in the next ten years, with the goal of decreasing the number of new HIV infections to fewer than 3,000 per year. HRSA will focus on linking people with HIV who are either newly diagnosed, diagnosed but currently not in care, or diagnosed and in care but not yet virally suppressed to the essential HIV care and treatment and support services needed to help them achieve viral suppression.
Recipients: U.S. State Government (including the District of Columbia); Domestic Local Government (includes territories unless otherwise specified)
Beneficiaries: Low Income",['HIV/AIDS'],['HIV/AIDS'],"['Ending the HIV Epidemic (EHE): A Plan for America initiative', 'reduce new infections by 75 percent in the next five years and by 90 percent in the next ten years', 'decreasing the number of new HIV infections to fewer than 3,000 per year', 'HRSA will focus on linking people with HIV who are either newly diagnosed, diagnosed but currently not in care, or diagnosed and in care but not yet virally suppressed to the essential HIV care and treatment and support services needed to help them achieve viral suppression']","The program description mentions the Ending the HIV Epidemic initiative, which is focused on reducing new HIV infections. It also mentions the goal of decreasing the number of new HIV infections to fewer than 3,000 per year. Additionally, the program aims to link people with HIV to essential care and treatment services. Based on these clues, the program can be categorized as HIV/AIDS.",['HIV/AIDS'],"The program description mentions the Ending the HIV Epidemic initiative, which is focused on reducing new HIV infections. It also mentions the goal of decreasing the number of new HIV infections to fewer than 3,000 per year. Additionally, the program aims to link people with HIV to essential care and treatment services. Based on these clues, the program can be categorized as HIV/AIDS."
312,312,"Program Name: RWHAP Part B - HIV Care Grants to States
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: The Ryan White HIV/AIDS Program (RWHAP) Part B is the largest RWHAP Part and provides grants to all 50 states, the District of Columbia, Puerto Rico, the U.S. Virgin Islands, Guam, and five Associated Pacific Jurisdictions to provide services for people with HIV. RWHAP Part B grants support outpatient ambulatory medical care, HIV-related prescription medications, case management, oral health care, health insurance premium and cost-sharing assistance, mental health and substance abuse services, and support services.
Recipients: U.S. State Government (including the District of Columbia); Domestic Local Government (includes territories unless otherwise specified)
Beneficiaries: Low Income",['HIV/AIDS'],['HIV/AIDS'],"['Ryan White HIV/AIDS Program', 'Part B', 'grants to all 50 states', 'outpatient ambulatory medical care', 'HIV-related prescription medications', 'case management', 'oral health care', 'health insurance premium and cost-sharing assistance', 'mental health and substance abuse services', 'support services']","The program description mentions the Ryan White HIV/AIDS Program and Part B grants, which are specifically related to HIV/AIDS. The description also includes various services provided, such as outpatient ambulatory medical care, HIV-related prescription medications, case management, oral health care, mental health and substance abuse services, and support services, all of which are related to HIV/AIDS care. Therefore, based on the program description and the services provided, it can be deduced that the program falls under the HIV/AIDS category.",['HIV/AIDS'],"The program description mentions the Ryan White HIV/AIDS Program and Part B grants, which are specifically related to HIV/AIDS. The description also includes various services provided, such as outpatient ambulatory medical care, HIV-related prescription medications, case management, oral health care, mental health and substance abuse services, and support services, all of which are related to HIV/AIDS care. Therefore, based on the program description and the services provided, it can be deduced that the program falls under the HIV/AIDS category."
313,313,"Program Name: RWHAP Part C - Early Intervention Services
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: HRSA’s Ryan White HIV/AIDS Program (RWHAP) Part C provides grants directly to community and faith-based organizations, health centers, health departments, and university or hospital-based clinics in 49 states, the District of Columbia, Puerto Rico, and the U.S. Virgin Islands. RWHAP Part C supports comprehensive primary health care and support services in an outpatient setting for low-income, uninsured, and underserved people with HIV.
Recipients: Indian/Native American Tribal Government; For-Profit Organization; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Private Educational Institution, For Profit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified)
Beneficiaries: Low Income",['HIV/AIDS'],['HIV/AIDS'],"['Ryan White HIV/AIDS Program (RWHAP) Part C', 'provides grants directly to community and faith-based organizations, health centers, health departments, and university or hospital-based clinics', 'supports comprehensive primary health care and support services in an outpatient setting', 'for low-income, uninsured, and underserved people with HIV']","The program description mentions the Ryan White HIV/AIDS Program (RWHAP) Part C, which is specifically focused on providing health care services for people with HIV. The program provides grants to community and faith-based organizations, health centers, health departments, and clinics. It supports comprehensive primary health care and support services for low-income, uninsured, and underserved individuals with HIV. Based on these clues, we can deduce that the program falls under the category of HIV/AIDS.","['HIV/AIDS', 'Native American']","The program mentions Indian/Native American Tribal Government as one of the recipients, which indicates a focus on Native American communities. Additionally, the program description explicitly mentions providing health care services for people with HIV, which falls under the category of HIV/AIDS."
314,314,"Program Name: RWHAP Part D - Women, Infants, Children, and Youth
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: The Ryan White HIV/AIDS Program (RWHAP) Part D provides grants directly to public or private community-based organizations, hospitals, and State and local governments. The RWHAP Part D focuses on providing access to coordinated, comprehensive, culturally and linguistically competent, family-centered HIV primary medical care and support services. RWHAP services focus on low-income, uninsured, and underserved women, infants, children, and youth with HIV and their affected family members. RWHAP Part D also funds essential support services, such as case management and transportation that help clients’ access medical care and stay in care.
Recipients: Public/State Controlled Institution; U.S. State Government (including the District of Columbia); Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government; For-Profit Organization; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Private Educational Institution, For Profit
Beneficiaries: Women; Low Income; Youth (16-21); Child (6-15); Infant (0-5)",['HIV/AIDS'],['HIV/AIDS'],"['Ryan White HIV/AIDS Program', 'Part D', 'women', 'infants', 'children', 'youth', 'low-income', 'uninsured', 'underserved', 'coordinated', 'comprehensive', 'culturally and linguistically competent', 'family-centered', 'HIV primary medical care', 'support services', 'case management', 'transportation']","The program description mentions the Ryan White HIV/AIDS Program and specifically refers to Part D, which focuses on providing access to coordinated, comprehensive, culturally and linguistically competent, family-centered HIV primary medical care and support services. The program targets low-income, uninsured, and underserved women, infants, children, and youth with HIV and their affected family members. It also mentions funding essential support services like case management and transportation. Based on these clues, the program can be categorized under HIV/AIDS.",['HIV/AIDS'],"The program description mentions the Ryan White HIV/AIDS Program and specifically refers to Part D, which focuses on providing access to coordinated, comprehensive, culturally and linguistically competent, family-centered HIV primary medical care and support services. The program targets low-income, uninsured, and underserved women, infants, children, and youth with HIV and their affected family members. It also mentions funding essential support services like case management and transportation. Based on these clues, the program can be categorized under HIV/AIDS."
315,315,"Program Name: RWHAP Part F - AIDS Education and Training Programs
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: The Ryan White HIV/AIDS Program (RWHAP) Part F AIDS Education and Training Center (AETC) program supports a network of eight regional centers and two national centers that conduct targeted, multidisciplinary education and training programs for health care providers serving people with HIV in all states, DC, Puerto Rico, the U.S. Virgin Islands, and the Associated Jurisdictions. The RWHAP AETC improves the quality of life of people with or at risk of HIV through the provision of specialized professional education and training. The program uses a strategy of implementation of multidisciplinary education and training programs for health care providers in the prevention and treatment of HIV.
Recipients: U.S. State Government (including the District of Columbia); For-Profit Organization; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Private Educational Institution, For Profit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government
Beneficiaries: Health Professional; Scientist /Researchers; Student Trainee; Education Professional",['HIV/AIDS'],['HIV/AIDS'],"['Ryan White HIV/AIDS Program', 'AIDS Education and Training Center (AETC) program', 'multidisciplinary education and training programs for health care providers', 'improves the quality of life of people with or at risk of HIV', 'prevention and treatment of HIV']","The program focuses on providing education and training for health care providers in the prevention and treatment of HIV, which aligns with the HIV/AIDS category. The program also aims to improve the quality of life of people with or at risk of HIV, further supporting the categorization.","['HIV/AIDS', 'Native American']","The program mentions 'Indian/Native American Tribal Government' in the Recipients section, which aligns with Lesson 1. Additionally, the program explicitly focuses on addressing the prevention and treatment of HIV, which aligns with Lesson 11."
316,316,"Program Name: RWHAP Part F - Dental Programs
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: The Ryan White HIV/AIDS Program (RWHAP) Part F funding supports two dental programs: 1) HIV/AIDS Dental Reimbursement Program (DRP); and 2) Community-Based Dental Partnership Program (CBDPP). The RWHAP DRP ensures access to oral health care for low-income people with HIV by reimbursing dental education programs for the non-reimbursed costs they incur providing such care. The RWHAP CBDPP supports collaborations between dental education programs and community-based partners to deliver oral health services in community settings while supporting students and residents enrolled in accredited dental educations programs.
Recipients: U.S. State Government (including the District of Columbia); For-Profit Organization; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Private Educational Institution, For Profit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government
Beneficiaries: Health Professional; Low Income",['HIV/AIDS'],['HIV/AIDS'],"['Ryan White HIV/AIDS Program', 'Part F funding', 'Dental Programs', 'HIV/AIDS Dental Reimbursement Program', 'Community-Based Dental Partnership Program', 'oral health care', 'low-income people with HIV', 'reimbursing dental education programs', 'non-reimbursed costs', 'CBDPP supports collaborations between dental education programs and community-based partners', 'deliver oral health services in community settings', 'supporting students and residents enrolled in accredited dental educations programs']","The program description mentions the Ryan White HIV/AIDS Program and Part F funding, indicating that it is related to HIV/AIDS. The description also specifically mentions dental programs that provide oral health care for low-income people with HIV. The program supports collaborations between dental education programs and community-based partners to deliver oral health services. Based on these clues, the program can be categorized as HIV/AIDS.",['HIV/AIDS'],"The program description mentions the Ryan White HIV/AIDS Program and Part F funding, indicating that it is related to HIV/AIDS. The description also specifically mentions dental programs that provide oral health care for low-income people with HIV. The program supports collaborations between dental education programs and community-based partners to deliver oral health services. Based on these clues, the program can be categorized as HIV/AIDS."
317,317,"Program Name: RWHAP Part F - Special Projects of National Significance
Agency: Department of Health and Human Services
Mission/Purpose: Health care services
Program Description: The Ryan White HIV/AIDS Program (RWHAP) Part F Special Projects of National Significance (SPNS) supports the development, evaluation, and dissemination of innovative interventions, models and strategies for HIV care to improve the retention and health outcomes of RWHAP clients.
Recipients: U.S. State Government (including the District of Columbia); For-Profit Organization; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Private Educational Institution, For Profit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government
Beneficiaries: Scientist /Researchers; Low Income",['HIV/AIDS'],['HIV/AIDS'],"['Ryan White HIV/AIDS Program', 'Part F Special Projects of National Significance (SPNS)', 'supports the development, evaluation, and dissemination of innovative interventions, models and strategies for HIV care', 'improve the retention and health outcomes of RWHAP clients']","The program is part of the Ryan White HIV/AIDS Program and focuses on developing innovative interventions and strategies for HIV care. It aims to improve the retention and health outcomes of RWHAP clients. Therefore, it can be categorized under HIV/AIDS.",['HIV/AIDS'],"The program is part of the Ryan White HIV/AIDS Program and focuses on developing innovative interventions and strategies for HIV care. It aims to improve the retention and health outcomes of RWHAP clients. Therefore, it can be categorized under HIV/AIDS."
